Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71992751,1,"Friday, May 17, 2013 03:42:42 UTC",38.8152,-122.8212,1.3,2.50,24,"Northern California"
ci,15344505,4,"Friday, May 17, 2013 03:28:24 UTC",33.9563,-118.4105,1.5,11.10,24,"Greater Los Angeles area, California"
ak,10718402,1,"Friday, May 17, 2013 03:15:40 UTC",62.8880,-149.6029,1.5,76.10, 7,"Central Alaska"
ci,15344465,A,"Friday, May 17, 2013 03:07:52 UTC",33.2032,-115.5498,3.5,1.90,45,"Southern California"
ci,15344457,4,"Friday, May 17, 2013 02:55:40 UTC",33.1765,-116.0195,1.3,5.80,25,"Southern California"
nc,71992731,3,"Friday, May 17, 2013 02:39:50 UTC",36.0680,-120.0122,2.6,62.00,19,"Central California"
ci,15344441,4,"Friday, May 17, 2013 02:16:33 UTC",34.1935,-116.8203,1.6,4.70,71,"Southern California"
nc,71992711,0,"Friday, May 17, 2013 02:08:55 UTC",36.5692,-121.1103,1.4,6.60, 9,"Central California"
ci,15344433,4,"Friday, May 17, 2013 02:02:29 UTC",33.2128,-115.5472,1.4,3.00,12,"Southern California"
ci,15344417,8,"Friday, May 17, 2013 01:46:55 UTC",33.1797,-115.6130,1.0,4.00,11,"Southern California"
ci,15344425,2,"Friday, May 17, 2013 01:45:52 UTC",33.9208,-117.8595,1.1,4.10, 9,"Greater Los Angeles area, California"
nc,71992691,0,"Friday, May 17, 2013 01:17:01 UTC",37.4087,-118.6017,2.0,11.30,18,"Central California"
uu,60023852,2,"Friday, May 17, 2013 00:59:17 UTC",39.4000,-111.2028,1.6,5.70, 9,"Utah"
mb,13802738,2,"Friday, May 17, 2013 00:42:21 UTC",45.0358,-111.8670,1.1,9.40,15,"western Montana"
ci,15344393,3,"Friday, May 17, 2013 00:36:01 UTC",35.1082,-118.6872,1.3,11.10,13,"Central California"
nn,00412085,1,"Friday, May 17, 2013 00:11:54 UTC",38.7732,-117.0773,1.7,4.00, 9,"Nevada"
ak,10718333,1,"Friday, May 17, 2013 00:05:46 UTC",62.1956,-149.0399,1.3,24.00, 5,"Central Alaska"
uu,60023847,4,"Thursday, May 16, 2013 23:34:40 UTC",39.5248,-111.4137,1.8,1.20,17,"Utah"
ci,15344377,2,"Thursday, May 16, 2013 23:26:09 UTC",34.5942,-116.6278,1.4,1.90,37,"Southern California"
us,b000gxcd,5,"Thursday, May 16, 2013 23:13:28 UTC",-41.3949,-87.7293,5.0,10.10,70,"West Chile Rise"
ci,15344353,3,"Thursday, May 16, 2013 23:06:47 UTC",34.0497,-117.1710,1.1,8.40,28,"Greater Los Angeles area, California"
uu,60023842,4,"Thursday, May 16, 2013 23:04:18 UTC",39.4392,-111.2202,1.1,2.20, 7,"Utah"
us,b000gxaq,8,"Thursday, May 16, 2013 22:38:21 UTC",-56.0864,-26.7993,5.3,37.30,41,"South Sandwich Islands region"
nc,71992621,2,"Thursday, May 16, 2013 22:34:44 UTC",37.5572,-121.8473,1.3,11.10,25,"San Francisco Bay area, California"
ci,15344329,3,"Thursday, May 16, 2013 22:31:00 UTC",33.7163,-117.1292,1.1,5.70,27,"Southern California"
nc,71992611,0,"Thursday, May 16, 2013 21:56:36 UTC",35.7252,-121.1122,1.6,7.70,15,"Central California"
ak,10718262,1,"Thursday, May 16, 2013 21:48:30 UTC",61.7798,-150.3642,2.5,8.50,32,"Southern Alaska"
ci,15344305,5,"Thursday, May 16, 2013 21:34:23 UTC",33.2078,-115.5498,1.0,2.80,12,"Southern California"
ak,10718253,1,"Thursday, May 16, 2013 21:14:14 UTC",62.5582,-151.1006,1.5,62.20,10,"Central Alaska"
nc,71992591,1,"Thursday, May 16, 2013 21:11:08 UTC",37.3277,-122.1008,1.7,0.30,17,"San Francisco Bay area, California"
mb,13408125,2,"Thursday, May 16, 2013 21:04:54 UTC",47.4200,-116.0256,1.8,2.00,23,"northern Idaho"
ci,15344297,1,"Thursday, May 16, 2013 20:53:41 UTC",36.4000,-117.8477,1.3,8.50,10,"Central California"
uu,60023822,2,"Thursday, May 16, 2013 20:46:56 UTC",39.4303,-111.2153,1.2,2.30, 6,"Utah"
ak,10718232,1,"Thursday, May 16, 2013 20:42:36 UTC",63.8062,-148.3620,1.8,102.90,17,"Central Alaska"
ak,10718225,1,"Thursday, May 16, 2013 20:26:09 UTC",63.5045,-151.1145,1.5,0.40, 9,"Central Alaska"
ci,15344257,3,"Thursday, May 16, 2013 19:57:13 UTC",32.7290,-115.9335,1.4,8.40,14,"Southern California"
nn,00412036,1,"Thursday, May 16, 2013 19:41:42 UTC",38.7257,-117.1835,1.4,0.00, 5,"Nevada"
nc,71992551,2,"Thursday, May 16, 2013 19:33:12 UTC",37.1003,-121.1878,1.4,5.70,28,"Central California"
nc,71992541,2,"Thursday, May 16, 2013 19:21:45 UTC",35.7432,-121.0265,1.0,7.90,21,"Central California"
ci,15344241,4,"Thursday, May 16, 2013 19:19:44 UTC",33.6728,-117.2225,1.2,0.00,16,"Southern California"
ci,15344233,5,"Thursday, May 16, 2013 19:10:16 UTC",33.2088,-115.5500,1.4,2.80,11,"Southern California"
ci,15344225,3,"Thursday, May 16, 2013 19:09:21 UTC",34.2308,-117.4370,1.2,14.60,21,"Greater Los Angeles area, California"
ak,10718191,1,"Thursday, May 16, 2013 19:04:20 UTC",65.0258,-147.4086,1.4,14.00, 9,"northern Alaska"
ci,15344217,4,"Thursday, May 16, 2013 19:00:49 UTC",34.0477,-117.1683,1.3,7.00,39,"Greater Los Angeles area, California"
ak,10718174,1,"Thursday, May 16, 2013 18:36:48 UTC",64.0501,-148.3961,1.7,120.50,15,"Central Alaska"
us,b000gx4n,7,"Thursday, May 16, 2013 18:27:08 UTC",-22.1543,-179.5641,5.1,584.60,89,"south of the Fiji Islands"
nc,71992491,2,"Thursday, May 16, 2013 18:23:17 UTC",36.1543,-120.0505,1.8,9.50,24,"Central California"
ci,15344153,3,"Thursday, May 16, 2013 18:06:27 UTC",33.9512,-116.6387,1.1,15.90,30,"Southern California"
pr,13136005,0,"Thursday, May 16, 2013 18:05:19 UTC",19.9211,-64.4674,3.2,12.00, 3,"north of the Virgin Islands"
ci,15344145,3,"Thursday, May 16, 2013 17:33:25 UTC",34.0242,-116.3272,1.1,6.60,31,"Southern California"
mb,13013512,2,"Thursday, May 16, 2013 17:27:00 UTC",45.6151,-111.7515,1.0,5.80, 8,"western Montana"
hv,60500166,2,"Thursday, May 16, 2013 17:20:57 UTC",19.3732,-155.2425,1.5,29.50,38,"Island of Hawaii, Hawaii"
ak,10718130,1,"Thursday, May 16, 2013 17:16:32 UTC",61.5601,-149.8134,1.9,34.50,12,"Southern Alaska"
ci,15344129,4,"Thursday, May 16, 2013 17:10:42 UTC",34.2035,-117.4003,1.7,11.80,64,"Greater Los Angeles area, California"
ci,15344137,2,"Thursday, May 16, 2013 17:07:27 UTC",31.5808,-116.1068,2.8,14.70, 6,"Baja California, Mexico"
nc,71992451,0,"Thursday, May 16, 2013 16:56:57 UTC",40.1255,-123.8323,1.5,20.90, 9,"Northern California"
nc,71992456,2,"Thursday, May 16, 2013 16:55:50 UTC",40.1417,-123.8412,1.2,19.80,16,"Northern California"
ak,10718111,1,"Thursday, May 16, 2013 16:54:32 UTC",62.2454,-149.6883,1.9,38.40,10,"Central Alaska"
ak,10718112,1,"Thursday, May 16, 2013 16:40:29 UTC",64.4488,-153.2636,1.7,14.40, 4,"Central Alaska"
ak,10718210,2,"Thursday, May 16, 2013 16:30:48 UTC",52.1095,-175.6178,2.4,177.60, 8,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000gx21,7,"Thursday, May 16, 2013 16:29:17 UTC",12.0566,-73.4435,5.0,26.10,144,"Caribbean Sea"
us,b000gx2p,5,"Thursday, May 16, 2013 16:26:55 UTC",-11.6005,113.6441,4.4,4.90,30,"south of Java, Indonesia"
ci,15344089,5,"Thursday, May 16, 2013 16:14:21 UTC",33.1787,-115.6042,1.4,1.80,23,"Southern California"
pr,13136004,0,"Thursday, May 16, 2013 16:13:07 UTC",19.3045,-65.9736,2.4,13.00, 7,"Puerto Rico region"
pr,13136002,0,"Thursday, May 16, 2013 16:06:34 UTC",19.2593,-66.1583,3.2,65.00,10,"Puerto Rico region"
pr,13136003,0,"Thursday, May 16, 2013 16:05:37 UTC",19.3500,-66.0100,2.9,23.00,20,"Puerto Rico region"
ak,10718090,1,"Thursday, May 16, 2013 16:05:34 UTC",63.4385,-148.2998,1.6,0.10,13,"Central Alaska"
ak,10718085,1,"Thursday, May 16, 2013 15:26:25 UTC",61.6980,-150.9600,1.9,45.20,11,"Southern Alaska"
ak,10718081,1,"Thursday, May 16, 2013 15:10:48 UTC",62.7753,-146.9790,1.2,38.30, 5,"Central Alaska"
nc,71992411,1,"Thursday, May 16, 2013 15:07:30 UTC",37.4885,-118.8778,1.9,5.50,27,"Central California"
us,b000gx0h,9,"Thursday, May 16, 2013 15:03:53 UTC",13.7716,50.3517,4.5,11.20,51,"Gulf of Aden"
nc,71992401,3,"Thursday, May 16, 2013 14:51:28 UTC",38.8302,-122.8047,2.4,2.40,85,"Northern California"
nc,71992396,1,"Thursday, May 16, 2013 14:44:58 UTC",37.4892,-118.8773,2.0,5.20,29,"Central California"
us,b000gwzt,7,"Thursday, May 16, 2013 14:15:47 UTC",15.0749,-92.2921,4.4,118.40,37,"Chiapas, Mexico"
ld,60026708,1,"Thursday, May 16, 2013 14:13:34 UTC",42.8187,-78.2457,1.4,9.90, 7,"New York"
nc,71992391,2,"Thursday, May 16, 2013 14:10:02 UTC",39.3010,-120.1330,1.2,10.20,21,"Northern California"
ci,15344025,6,"Thursday, May 16, 2013 13:45:09 UTC",33.1685,-115.6222,1.4,3.70,15,"Southern California"
us,b000gwzj,6,"Thursday, May 16, 2013 13:28:59 UTC",5.8159,-77.4116,4.7,16.50,24,"near the west coast of Colombia"
ci,15344009,2,"Thursday, May 16, 2013 13:25:17 UTC",34.9057,-118.9513,1.5,12.50,14,"Central California"
ak,10718057,1,"Thursday, May 16, 2013 13:20:14 UTC",61.7005,-149.6750,1.9,24.90,21,"Southern Alaska"
ci,15343977,2,"Thursday, May 16, 2013 13:18:52 UTC",32.7270,-115.9895,1.9,7.70,12,"Southern California"
ak,10718053,1,"Thursday, May 16, 2013 13:12:53 UTC",61.7240,-152.1097,1.8,117.70,13,"Southern Alaska"
ci,15343921,7,"Thursday, May 16, 2013 12:45:07 UTC",33.1773,-115.6075,1.7,1.70,35,"Southern California"
nc,71992376,3,"Thursday, May 16, 2013 12:37:36 UTC",37.4360,-121.7807,1.1,7.20,34,"San Francisco Bay area, California"
ak,10718045,1,"Thursday, May 16, 2013 12:34:34 UTC",60.0497,-152.1845,1.7,35.50,10,"Southern Alaska"
ci,15343913,6,"Thursday, May 16, 2013 12:25:22 UTC",33.1777,-115.6057,1.2,2.00,14,"Southern California"
ak,10718039,1,"Thursday, May 16, 2013 12:15:07 UTC",62.5789,-151.1692,1.9,84.90,21,"Central Alaska"
ci,15343833,4,"Thursday, May 16, 2013 12:09:42 UTC",33.1767,-115.6063,1.3,1.50,15,"Southern California"
pr,13136001,0,"Thursday, May 16, 2013 11:56:40 UTC",18.3108,-67.0774,1.9,17.00, 4,"Puerto Rico"
ci,15343753,2,"Thursday, May 16, 2013 11:53:11 UTC",33.1618,-116.3862,1.4,17.30,39,"Southern California"
ci,15343729,4,"Thursday, May 16, 2013 11:48:39 UTC",33.1778,-115.6062,1.8,2.00,16,"Southern California"
ci,15343713,4,"Thursday, May 16, 2013 11:45:52 UTC",33.1787,-115.6042,1.4,2.00,16,"Southern California"
ci,15343681,8,"Thursday, May 16, 2013 11:43:29 UTC",33.1820,-115.6072,2.4,1.80,51,"Southern California"
ci,15343673,4,"Thursday, May 16, 2013 11:34:13 UTC",33.1797,-115.6045,1.3,1.80,16,"Southern California"
ak,10718020,1,"Thursday, May 16, 2013 11:19:18 UTC",60.6359,-152.3520,1.0,141.20, 6,"Southern Alaska"
ak,10718015,2,"Thursday, May 16, 2013 11:13:04 UTC",51.1052,-178.7837,2.3,49.40, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10718013,1,"Thursday, May 16, 2013 11:12:35 UTC",63.5119,-151.1670,1.5,0.10,12,"Central Alaska"
us,b000gwxl,5,"Thursday, May 16, 2013 10:58:56 UTC",52.8902,-168.7277,4.3,45.80,50,"Fox Islands, Aleutian Islands, Alaska"
us,b000gwxj,5,"Thursday, May 16, 2013 10:50:10 UTC",52.2933,160.1923,4.6,57.40,32,"off the east coast of the Kamchatka Peninsula, Russia"
ci,15343625,2,"Thursday, May 16, 2013 10:33:17 UTC",33.2598,-116.2740,1.3,13.10,22,"Southern California"
pr,13136000,0,"Thursday, May 16, 2013 10:32:33 UTC",18.2420,-67.0761,2.4,93.00, 4,"Puerto Rico"
nc,71992336,3,"Thursday, May 16, 2013 10:17:51 UTC",38.4522,-123.2600,1.7,2.30,17,"offshore Northern California"
ci,15343617,2,"Thursday, May 16, 2013 10:17:04 UTC",33.6790,-116.7135,1.0,17.10,33,"Southern California"
ci,15343609,2,"Thursday, May 16, 2013 10:12:11 UTC",34.8438,-119.2472,1.7,12.40,13,"Central California"
ci,15343601,6,"Thursday, May 16, 2013 10:04:58 UTC",34.8578,-119.2387,3.2,12.70,63,"Central California"
ci,15343585,2,"Thursday, May 16, 2013 09:34:20 UTC",32.8945,-116.2600,1.7,9.10,43,"Southern California"
ak,10717993,1,"Thursday, May 16, 2013 09:30:49 UTC",61.6144,-150.4220,1.8,29.00, 9,"Southern Alaska"
uw,60530532,1,"Thursday, May 16, 2013 09:24:16 UTC",46.4767,-122.3820,1.0,21.40,26,"Washington"
us,b000gwwn,6,"Thursday, May 16, 2013 09:23:40 UTC",52.3218,160.0520,4.7,60.80,54,"off the east coast of the Kamchatka Peninsula, Russia"
us,b000gwvx,5,"Thursday, May 16, 2013 08:03:51 UTC",38.7469,144.3949,4.5,35.00,40,"off the east coast of Honshu, Japan"
ak,10717982,1,"Thursday, May 16, 2013 07:55:21 UTC",59.9753,-141.6623,1.5,19.20, 8,"Southeastern Alaska"
ci,15343545,2,"Thursday, May 16, 2013 07:53:37 UTC",33.2807,-116.7775,1.1,14.40,34,"Southern California"
us,b000gwvq,5,"Thursday, May 16, 2013 07:39:51 UTC",37.1110,141.2358,4.5,35.00,22,"near the east coast of Honshu, Japan"
nc,71992306,0,"Thursday, May 16, 2013 07:31:28 UTC",36.5358,-121.1205,1.7,3.30,14,"Central California"
uu,60023787,4,"Thursday, May 16, 2013 07:30:00 UTC",39.4428,-111.2193,1.2,2.60,16,"Utah"
us,b000gwv7,6,"Thursday, May 16, 2013 07:12:21 UTC",35.3654,141.4560,4.4,35.10,16,"near the east coast of Honshu, Japan"
ci,15343529,4,"Thursday, May 16, 2013 06:58:18 UTC",33.2115,-115.5462,1.4,0.10,15,"Southern California"
nc,71992296,1,"Thursday, May 16, 2013 06:55:57 UTC",39.3032,-120.1395,2.0,8.60,20,"Northern California"
ci,15343521,4,"Thursday, May 16, 2013 06:52:52 UTC",33.2010,-115.5550,1.1,3.40,14,"Southern California"
nc,71992291,1,"Thursday, May 16, 2013 06:49:54 UTC",39.3028,-120.1400,1.8,8.40,19,"Northern California"
uu,60023777,2,"Thursday, May 16, 2013 06:21:18 UTC",39.4438,-111.2198,1.2,1.40,14,"Utah"
uu,60023772,5,"Thursday, May 16, 2013 06:17:12 UTC",44.7252,-111.0210,1.5,1.50,20,"Yellowstone National Park, Wyoming"
ci,15343505,2,"Thursday, May 16, 2013 06:16:56 UTC",33.4738,-116.4198,1.2,13.30,14,"Southern California"
us,b000gwuh,4,"Thursday, May 16, 2013 06:13:51 UTC",-8.7853,117.5477,4.3,155.00,28,"Sumbawa region, Indonesia"
ak,10717967,2,"Thursday, May 16, 2013 06:10:42 UTC",51.5146,-176.3604,2.7,31.40, 9,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000gwu2,4,"Thursday, May 16, 2013 05:57:03 UTC",-57.5775,-6.9306,5.7,12.80,25,"southern Mid-Atlantic Ridge"
us,b000gwtx,3,"Thursday, May 16, 2013 05:42:51 UTC",-53.0042,22.4128,5.0,16.50,26,"south of Africa"
nc,71992281,0,"Thursday, May 16, 2013 05:37:14 UTC",38.8283,-122.8055,1.0,2.90,18,"Northern California"
us,b000gwtm,8,"Thursday, May 16, 2013 05:23:52 UTC",42.7729,-111.2066,3.6,4.80,40,"southern Idaho"
us,b000gwtq,4,"Thursday, May 16, 2013 05:19:40 UTC",-52.8809,10.3647,5.0,10.00,30,"southwest of Africa"
us,b000gwtn,5,"Thursday, May 16, 2013 05:18:09 UTC",26.8381,144.1369,4.7,17.70,42,"Bonin Islands, Japan region"
hv,60500081,1,"Thursday, May 16, 2013 05:05:27 UTC",19.3177,-155.1892,1.7,5.10,20,"Island of Hawaii, Hawaii"
nm,051613b,A,"Thursday, May 16, 2013 04:43:19 UTC",35.4868,-92.3978,1.6,5.50, 7,"Arkansas"
nc,71992271,0,"Thursday, May 16, 2013 04:36:47 UTC",36.5763,-121.1748,1.4,5.90,11,"Central California"
nc,71992261,3,"Thursday, May 16, 2013 04:18:36 UTC",40.1523,-122.7477,1.5,13.60,11,"Northern California"
ci,15343473,2,"Thursday, May 16, 2013 04:15:50 UTC",33.8755,-115.8110,1.4,8.60,15,"Southern California"
nc,71992246,0,"Thursday, May 16, 2013 03:41:12 UTC",37.4010,-118.5857,1.5,12.20,17,"Central California"
ak,10717951,1,"Thursday, May 16, 2013 03:35:17 UTC",62.3235,-150.8733,1.4,63.70,12,"Central Alaska"
nm,051613a,A,"Thursday, May 16, 2013 03:24:27 UTC",35.5036,-92.3913,1.9,0.10,10,"Arkansas"
us,b000gwt6,3,"Thursday, May 16, 2013 03:18:24 UTC",-53.0584,22.1765,5.3,15.80,25,"south of Africa"
nn,00411970,1,"Thursday, May 16, 2013 03:16:44 UTC",38.0371,-118.0562,1.6,9.50,12,"Nevada"
ak,10717946,1,"Thursday, May 16, 2013 03:15:19 UTC",62.1104,-145.1797,1.3,29.10, 5,"Central Alaska"
ci,15343433,3,"Thursday, May 16, 2013 03:13:22 UTC",32.7482,-117.3885,1.5,17.00,21,"Channel Islands region, California"
us,b000gwsz,7,"Thursday, May 16, 2013 03:02:07 UTC",37.0496,28.4219,4.9,41.60,85,"western Turkey"
ak,10717939,1,"Thursday, May 16, 2013 02:49:35 UTC",62.7445,-151.7564,1.5,5.70, 6,"Central Alaska"
nc,71992236,0,"Thursday, May 16, 2013 02:48:45 UTC",37.9513,-122.0138,1.6,8.60,14,"San Francisco Bay area, California"
ci,37113956,2,"Thursday, May 16, 2013 02:45:33 UTC",33.0407,-116.4217,1.1,5.20,13,"Southern California"
ci,15343409,3,"Thursday, May 16, 2013 02:45:18 UTC",33.0307,-116.4278,1.1,9.10,32,"Southern California"
nc,71992231,3,"Thursday, May 16, 2013 02:38:27 UTC",39.0190,-122.5757,1.4,5.20, 9,"Northern California"
ci,15343401,3,"Thursday, May 16, 2013 02:34:44 UTC",33.1527,-116.5647,1.0,16.30,27,"Southern California"
nc,71992226,2,"Thursday, May 16, 2013 02:24:21 UTC",37.5542,-119.0045,1.7,2.80,40,"Central California"
nc,71071759,2,"Thursday, May 16, 2013 02:21:30 UTC",38.8140,-122.8197,1.0,2.40, 9,"Northern California"
us,b000gwsy,3,"Thursday, May 16, 2013 02:21:30 UTC",8.6164,141.5216,4.6,41.10,26,"State of Yap, Federated States of Micronesia"
nc,71992206,2,"Thursday, May 16, 2013 02:20:26 UTC",35.4998,-120.7668,1.6,2.10,64,"Central California"
ci,15343353,3,"Thursday, May 16, 2013 01:57:07 UTC",34.3542,-116.4412,1.4,0.70,34,"Southern California"
nc,71992201,0,"Thursday, May 16, 2013 01:42:53 UTC",36.5588,-121.0880,1.6,9.80,16,"Central California"
ci,15343329,4,"Thursday, May 16, 2013 01:40:28 UTC",34.0493,-117.1705,1.4,8.10,52,"Greater Los Angeles area, California"
ci,15343321,4,"Thursday, May 16, 2013 01:36:29 UTC",34.0512,-117.1750,1.8,7.80,23,"Greater Los Angeles area, California"
ci,15343313,4,"Thursday, May 16, 2013 01:36:19 UTC",34.0502,-117.1670,1.7,8.50,60,"Greater Los Angeles area, California"
nn,00411966,1,"Thursday, May 16, 2013 01:31:04 UTC",37.0954,-117.9451,1.2,11.50, 8,"Central California"
nc,71992191,3,"Thursday, May 16, 2013 01:30:39 UTC",37.6035,-122.4530,2.2,7.20,134,"San Francisco Bay area, California"
ci,15343305,D,"Thursday, May 16, 2013 01:29:06 UTC",33.1723,-115.6093,1.3,0.60,19,"Southern California"
us,b000gwse,6,"Thursday, May 16, 2013 01:11:28 UTC",0.0414,100.3933,4.7,157.20,62,"northern Sumatra, Indonesia"
ak,10717901,1,"Thursday, May 16, 2013 01:01:19 UTC",64.9620,-150.7750,2.3,5.40,17,"Central Alaska"
ci,15343289,3,"Thursday, May 16, 2013 00:43:29 UTC",33.3743,-116.8365,1.1,8.00,31,"Southern California"
ci,15343273,3,"Thursday, May 16, 2013 00:33:59 UTC",33.3772,-116.8343,1.1,7.40,34,"Southern California"
ci,15343265,5,"Thursday, May 16, 2013 00:30:33 UTC",33.3727,-116.8405,2.9,6.60,102,"Southern California"
ci,15343257,4,"Thursday, May 16, 2013 00:20:09 UTC",33.3730,-116.8375,1.9,6.60,62,"Southern California"
uw,60530392,2,"Wednesday, May 15, 2013 23:54:03 UTC",46.8567,-119.5523,1.6,0.00,13,"Washington"
ak,10717721,2,"Wednesday, May 15, 2013 23:48:07 UTC",52.4010,-164.5564,3.4,25.50,29,"south of Alaska"
us,b000gwrr,B,"Wednesday, May 15, 2013 23:46:30 UTC",40.3990,141.8210,4.9,25.90,83,"near the east coast of Honshu, Japan"
ak,10717708,2,"Wednesday, May 15, 2013 23:38:50 UTC",64.4866,-147.8582,1.8,8.00,26,"Central Alaska"
uw,60530387,4,"Wednesday, May 15, 2013 23:36:47 UTC",47.2668,-122.1958,1.5,22.70,29,"Seattle-Tacoma urban area, Washington"
us,b000gwrk,5,"Wednesday, May 15, 2013 23:16:49 UTC",-4.8731,144.5759,5.2,68.20,31,"near the north coast of New Guinea, Papua New Guinea"
nn,00411953,1,"Wednesday, May 15, 2013 23:05:30 UTC",38.0224,-118.0472,1.3,7.90,10,"Nevada"
us,b000gwrc,5,"Wednesday, May 15, 2013 23:01:16 UTC",-11.3025,165.1153,4.8,7.30,30,"Santa Cruz Islands"
uw,60530362,2,"Wednesday, May 15, 2013 22:59:57 UTC",48.4820,-123.5165,1.0,0.00, 8,"Vancouver Island, Canada region"
ak,10717677,2,"Wednesday, May 15, 2013 22:58:37 UTC",64.9978,-147.4619,1.1,0.00, 8,"Central Alaska"
nc,71992131,1,"Wednesday, May 15, 2013 22:48:44 UTC",38.7707,-122.7440,1.4,2.30,20,"Northern California"
ci,15343209,2,"Wednesday, May 15, 2013 22:16:56 UTC",35.5882,-118.5525,1.0,0.00, 8,"Central California"
nc,71992111,3,"Wednesday, May 15, 2013 22:15:50 UTC",39.5082,-121.9877,2.6,22.60,54,"Northern California"
nc,71992101,6,"Wednesday, May 15, 2013 21:59:37 UTC",40.6075,-122.4780,1.2,10.00, 7,"Northern California"
pr,13135005,0,"Wednesday, May 15, 2013 21:58:36 UTC",18.7917,-65.2109,2.4,17.00, 3,"Puerto Rico region"
ci,15343193,3,"Wednesday, May 15, 2013 21:57:11 UTC",33.6588,-118.3957,1.9,0.00,30,"San Pedro Channel, California"
nc,71992086,0,"Wednesday, May 15, 2013 21:49:33 UTC",38.8215,-122.7653,1.0,2.50,17,"Northern California"
uw,60530337,2,"Wednesday, May 15, 2013 21:47:54 UTC",45.8173,-122.8148,1.1,0.00,11,"Oregon"
ci,15343185,4,"Wednesday, May 15, 2013 21:42:58 UTC",32.8840,-116.2535,1.4,5.60,35,"Southern California"
uu,60023727,2,"Wednesday, May 15, 2013 21:42:35 UTC",39.4457,-111.2090,1.1,1.80, 7,"Utah"
uw,60530322,2,"Wednesday, May 15, 2013 21:20:51 UTC",49.4212,-120.5077,2.3,0.00,11,"British Columbia, Canada"
uu,60023722,4,"Wednesday, May 15, 2013 21:06:31 UTC",39.4370,-111.2303,1.2,3.40,12,"Utah"
uw,60530312,2,"Wednesday, May 15, 2013 20:59:35 UTC",47.7188,-120.0513,1.0,0.70, 8,"Washington"
ak,10717620,2,"Wednesday, May 15, 2013 20:58:15 UTC",61.8172,-150.6518,1.3,56.90,19,"Southern Alaska"
mb,13262232,2,"Wednesday, May 15, 2013 20:39:52 UTC",45.6091,-111.7508,1.2,6.00,10,"western Montana"
nc,71992071,2,"Wednesday, May 15, 2013 20:37:08 UTC",40.3043,-124.4887,2.0,28.40,15,"offshore Northern California"
ak,10717616,2,"Wednesday, May 15, 2013 20:28:28 UTC",53.8329,-164.1377,2.7,41.10,15,"Unimak Island region, Alaska"
ci,15343161,5,"Wednesday, May 15, 2013 20:09:48 UTC",33.9528,-116.7355,1.1,15.60,27,"Southern California"
ci,15343153,4,"Wednesday, May 15, 2013 20:06:35 UTC",33.2275,-116.0712,1.5,7.80,51,"Southern California"
ci,15343145,9,"Wednesday, May 15, 2013 20:00:06 UTC",33.6583,-118.3722,4.0,1.20,69,"San Pedro Channel, California"
ci,15343129,4,"Wednesday, May 15, 2013 19:58:45 UTC",32.8118,-117.0625,1.3,0.00,16,"San Diego County urban area, California"
nc,71992036,2,"Wednesday, May 15, 2013 19:47:42 UTC",38.7607,-123.2065,1.9,3.20,49,"Northern California"
ci,37113932,2,"Wednesday, May 15, 2013 19:15:28 UTC",34.0487,-117.1625,1.0,7.80,11,"Greater Los Angeles area, California"
ci,15343105,2,"Wednesday, May 15, 2013 19:15:17 UTC",34.0423,-117.1703,1.0,4.40,11,"Greater Los Angeles area, California"
ld,60026703,1,"Wednesday, May 15, 2013 19:13:16 UTC",45.4140,-75.9738,2.2,11.10,15,"Ontario-Quebec border region, Canada"
ak,10717590,2,"Wednesday, May 15, 2013 19:08:05 UTC",61.5061,-151.2264,1.6,6.50,18,"Southern Alaska"
ci,15343097,2,"Wednesday, May 15, 2013 19:01:38 UTC",34.6323,-117.1078,1.4,0.00, 9,"Southern California"
ci,15343089,4,"Wednesday, May 15, 2013 18:54:58 UTC",35.4870,-118.2923,1.4,2.00,25,"Central California"
ak,10717580,2,"Wednesday, May 15, 2013 18:37:17 UTC",61.8963,-148.3335,1.0,36.00,15,"Southern Alaska"
nc,71992006,0,"Wednesday, May 15, 2013 18:22:51 UTC",38.8152,-122.8142,1.1,3.20,19,"Northern California"
us,b000gwks,5,"Wednesday, May 15, 2013 18:13:38 UTC",51.1641,179.4788,4.3,35.30,38,"Rat Islands, Aleutian Islands, Alaska"
nc,71991996,0,"Wednesday, May 15, 2013 18:09:37 UTC",38.8432,-122.8278,1.0,2.40,18,"Northern California"
ci,15343081,4,"Wednesday, May 15, 2013 18:08:49 UTC",33.5953,-116.8192,1.4,10.00,44,"Southern California"
ak,10717555,2,"Wednesday, May 15, 2013 18:02:47 UTC",64.7692,-149.2918,1.2,16.10,16,"Central Alaska"
ci,15343065,3,"Wednesday, May 15, 2013 17:38:10 UTC",33.3780,-116.8385,1.0,6.50,29,"Southern California"
ci,15343057,2,"Wednesday, May 15, 2013 17:31:19 UTC",35.0520,-118.3550,1.3,0.00,11,"Southern California"
uw,60530267,2,"Wednesday, May 15, 2013 17:29:21 UTC",46.3790,-121.8482,1.9,10.00,42,"Washington"
us,c000gxfj,4,"Wednesday, May 15, 2013 17:24:55 UTC",30.3965,103.1002,4.4,10.50,26,"eastern Sichuan, China"
nc,71991976,0,"Wednesday, May 15, 2013 17:10:40 UTC",38.7655,-122.7432,1.0,2.70,18,"Northern California"
