Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15345441,2,"Saturday, May 18, 2013 11:21:52 UTC",34.0368,-116.6180,1.6,11.90,47,"Southern California"
us,b000gy95,8,"Saturday, May 18, 2013 10:57:50 UTC",26.7678,57.7783,5.5,9.70,142,"southern Iran"
nc,71993581,0,"Saturday, May 18, 2013 10:34:37 UTC",38.8310,-122.8085,1.0,2.80,20,"Northern California"
ci,15345417,2,"Saturday, May 18, 2013 10:30:31 UTC",33.6332,-116.7623,1.3,8.70,18,"Southern California"
us,b000gy8m,7,"Saturday, May 18, 2013 10:03:18 UTC",26.6882,57.8114,5.6,9.90,180,"southern Iran"
ci,15345393,3,"Saturday, May 18, 2013 09:41:02 UTC",33.5562,-118.3713,3.3,0.00,78,"San Pedro Channel, California"
pr,13138006,0,"Saturday, May 18, 2013 09:24:17 UTC",19.4829,-66.3403,3.1,13.00,17,"Puerto Rico region"
us,b000gy8a,8,"Saturday, May 18, 2013 09:09:39 UTC",37.8133,142.3828,4.5,29.00,33,"off the east coast of Honshu, Japan"
nc,71993531,1,"Saturday, May 18, 2013 08:07:18 UTC",38.7627,-122.7335,1.9,2.10,25,"Northern California"
pr,13138005,0,"Saturday, May 18, 2013 08:04:49 UTC",18.1513,-66.8580,1.9,10.00, 7,"Puerto Rico"
us,b000gy7y,5,"Saturday, May 18, 2013 08:00:42 UTC",6.5463,-82.3866,4.6,7.90,51,"south of Panama"
us,b000gy7m,5,"Saturday, May 18, 2013 07:26:23 UTC",52.1979,160.3022,4.4,40.00,27,"off the east coast of the Kamchatka Peninsula, Russia"
ci,15345377,2,"Saturday, May 18, 2013 07:10:30 UTC",33.2715,-115.5478,1.4,0.40,10,"Southern California"
nc,71993521,0,"Saturday, May 18, 2013 06:41:41 UTC",38.8353,-122.7838,1.0,2.30,20,"Northern California"
ci,15345361,2,"Saturday, May 18, 2013 06:39:54 UTC",32.6707,-115.9443,1.7,7.00,26,"Southern California"
ci,15345353,2,"Saturday, May 18, 2013 06:33:22 UTC",33.4428,-116.8950,1.4,8.20,43,"Southern California"
hv,60500591,2,"Saturday, May 18, 2013 06:29:48 UTC",19.7647,-156.0952,2.7,9.60,33,"Hawaii region, Hawaii"
ci,15345345,2,"Saturday, May 18, 2013 05:58:48 UTC",34.1598,-117.7342,1.5,9.40,48,"Greater Los Angeles area, California"
us,b000gy67,A,"Saturday, May 18, 2013 05:47:59 UTC",37.7450,141.4937,6.0,34.30,137,"near the east coast of Honshu, Japan"
pr,13138004,0,"Saturday, May 18, 2013 05:44:28 UTC",19.2877,-66.3535,3.1,72.00, 5,"Puerto Rico region"
ci,15345321,2,"Saturday, May 18, 2013 05:28:05 UTC",33.5105,-116.4482,2.2,10.60,81,"Southern California"
